random_search_results.csv,Run,Fitness,BestKnown
995,23,-5857.00,-72707.00
995,24,-5675.00,-72707.00
995,25,-5259.00,-72707.00
995,26,-5853.00,-72707.00
995,27,-5679.00,-72707.00
995,28,-5435.00,-72707.00
995,29,-5673.00,-72707.00
996,0,-6179.00,-115145.00
996,1,-6671.00,-115145.00
996,2,-6413.00,-115145.00
996,3,-8257.00,-115145.00
996,4,-5811.00,-115145.00
996,5,-6327.00,-115145.00
996,6,-7441.00,-115145.00
996,7,-6627.00,-115145.00
996,8,-6215.00,-115145.00
996,9,-6833.00,-115145.00
996,10,-6821.00,-115145.00
996,11,-7353.00,-115145.00
996,12,-5945.00,-115145.00
996,13,-6829.00,-115145.00
996,14,-6577.00,-115145.00
996,15,-7365.00,-115145.00
996,16,-7183.00,-115145.00
996,17,-6999.00,-115145.00
996,18,-6911.00,-115145.00
996,19,-7411.00,-115145.00
996,20,-7107.00,-115145.00
996,21,-7481.00,-115145.00
996,22,-7505.00,-115145.00
996,23,-7777.00,-115145.00
996,24,-7741.00,-115145.00
996,25,-6857.00,-115145.00
996,26,-6987.00,-115145.00
996,27,-6781.00,-115145.00
996,28,-7335.00,-115145.00
996,29,-7737.00,-115145.00
997,0,-10340.00,-187096.00
997,1,-8770.00,-187096.00
997,2,-9944.00,-187096.00
997,3,-10166.00,-187096.00
997,4,-11390.00,-187096.00
997,5,-10716.00,-187096.00
997,6,-12550.00,-187096.00
997,7,-11164.00,-187096.00
997,8,-9438.00,-187096.00
997,9,-8696.00,-187096.00
997,10,-10260.00,-187096.00
997,11,-12474.00,-187096.00
997,12,-10204.00,-187096.00
997,13,-9154.00,-187096.00
997,14,-9230.00,-187096.00
997,15,-10150.00,-187096.00
997,16,-9600.00,-187096.00
997,17,-11870.00,-187096.00
997,18,-11800.00,-187096.00
997,19,-8790.00,-187096.00
997,20,-10254.00,-187096.00
997,21,-8780.00,-187096.00
997,22,-11310.00,-187096.00
997,23,-11378.00,-187096.00
997,24,-10304.00,-187096.00
997,25,-9474.00,-187096.00
997,26,-11432.00,-187096.00
997,27,-11518.00,-187096.00
997,28,-8798.00,-187096.00
997,29,-9306.00,-187096.00
998,0,-6782.00,-87290.00
998,1,-6796.00,-87290.00
998,2,-8032.00,-87290.00
998,3,-7640.00,-87290.00
998,4,-7008.00,-87290.00
998,5,-6670.00,-87290.00
998,6,-7136.00,-87290.00
998,7,-7144.00,-87290.00
998,8,-6920.00,-87290.00
998,9,-7322.00,-87290.00
998,10,-7886.00,-87290.00
998,11,-7736.00,-87290.00
998,12,-7654.00,-87290.00
998,13,-7164.00,-87290.00
998,14,-9492.00,-87290.00
998,15,-7442.00,-87290.00
998,16,-8468.00,-87290.00
998,17,-7454.00,-87290.00
998,18,-6388.00,-87290.00
998,19,-7076.00,-87290.00
998,20,-6516.00,-87290.00
998,21,-6216.00,-87290.00
998,22,-7842.00,-87290.00
998,23,-6788.00,-87290.00
998,24,-6920.00,-87290.00
998,25,-6974.00,-87290.00
998,26,-8524.00,-87290.00
998,27,-7760.00,-87290.00
998,28,-6768.00,-87290.00
998,29,-7180.00,-87290.00
999,0,-4987.00,-101785.00
999,1,-5181.00,-101785.00
999,2,-5885.00,-101785.00
999,3,-6275.00,-101785.00
999,4,-5777.00,-101785.00
999,5,-5621.00,-101785.00
999,6,-5405.00,-101785.00
999,7,-6161.00,-101785.00
999,8,-6587.00,-101785.00
999,9,-5265.00,-101785.00
999,10,-7137.00,-101785.00
999,11,-7121.00,-101785.00
999,12,-6655.00,-101785.00
999,13,-7545.00,-101785.00
999,14,-5887.00,-101785.00
999,15,-6887.00,-101785.00
999,16,-5803.00,-101785.00
999,17,-6535.00,-101785.00
999,18,-5701.00,-101785.00
999,19,-6569.00,-101785.00
999,20,-5401.00,-101785.00
999,21,-5437.00,-101785.00
999,22,-5297.00,-101785.00
999,23,-5275.00,-101785.00
999,24,-6845.00,-101785.00
999,25,-5339.00,-101785.00
999,26,-5429.00,-101785.00
999,27,-5683.00,-101785.00
999,28,-5737.00,-101785.00
999,29,-7487.00,-101785.00
